id,value
id_0,24.8979975632
id_1,63.1533849381
id_2,19.9380942549
id_3,29.4904594612
id_4,9.69510594479
id_5,33.4138771451
id_6,41.5614449359
id_7,17.3892124101
id_8,52.0685382468
id_9,32.1925746387
id_10,37.4206735872
id_11,59.2556535591
id_12,36.7710631753
id_13,41.9471186834
id_14,26.9777099525
id_15,12.5285494305
id_16,52.292093631
id_17,23.3997955737
id_18,17.6576846595
id_19,19.1231554109
id_20,16.1802559192
id_21,31.0380599459
id_22,39.4210169583
id_23,9.74287193744
id_24,59.1881660787
id_25,45.9400558123
id_26,27.1638659528
id_27,6.9122724108
id_28,29.095432597
id_29,36.5345568284
id_30,18.2144357337
id_31,11.4591531393
id_32,15.960568431
id_33,8.12775204221
id_34,15.3684351058
id_35,42.3243805193
id_36,22.1341671446
id_37,27.341084538
id_38,4.05549076418
id_39,58.7924861097
id_40,46.8136401652
id_41,20.8489739198
id_42,52.3616835274
id_43,18.9284198396
id_44,44.9693335351
id_45,49.3617549272
id_46,57.5313938868
id_47,40.9194160092
id_48,55.0201120155
id_49,39.521773019
id_50,30.1061802467
id_51,24.2596488987
id_52,38.9464310428
id_53,23.9339028619
id_54,37.0711846081
id_55,38.9981908122
id_56,25.235982763
id_57,22.1632469946
id_58,35.4506632564
id_59,31.6706226513
id_60,12.6673652839
id_61,21.9998904643
id_62,31.4989179452
id_63,52.7878138162
id_64,50.2249920858
id_65,26.347115228
id_66,38.3760745039
id_67,52.210904936
id_68,28.8211092097
id_69,40.0134951676
id_70,63.5310152319
id_71,55.3085156187
id_72,42.5209719191
id_73,14.6735233578
id_74,14.4629668557
id_75,36.5887691123
id_76,64.1570841392
id_77,2.58536292423
id_78,41.6876424488
id_79,43.3486711392
id_80,8.31411734381
id_81,22.6659758004
id_82,4.70683364546
id_83,30.4591468883
id_84,9.30758448725
id_85,5.94841427675
id_86,16.1485628981
id_87,10.8336821729
id_88,19.5477693963
id_89,26.0144756258
id_90,35.205203593
id_91,11.6359451487
id_92,12.7464022445
id_93,9.61464808226
id_94,37.7401299295
id_95,15.1180271146
id_96,17.3910579258
id_97,9.90631233688
id_98,11.2247178925
id_99,4.80053198532
id_100,9.45516356652
id_101,18.3884096758
id_102,12.4147796968
id_103,9.19830779947
id_104,11.758410866
id_105,35.5004543817
id_106,25.3460277362
id_107,7.36332761374
id_108,16.8551229205
id_109,15.5141256879
id_110,11.5313542999
id_111,16.7731910957
id_112,15.4750834417
id_113,25.655087322
id_114,20.5170017368
id_115,17.0742447114
id_116,6.88169169522
id_117,46.2780657705
id_118,25.6844945113
id_119,0.911518794327
id_120,0.19160568133
id_121,9.81385016993
id_122,12.5553387764
id_123,13.6081485914
id_124,7.44099213281
id_125,25.4802479683
id_126,21.9962027022
id_127,10.4041459727
id_128,21.013414419
id_129,14.1159800483
id_130,-0.601652383421
id_131,32.2311389638
id_132,13.5718336001
id_133,19.6944777282
id_134,26.1609651723
id_135,24.0398357768
id_136,10.2750538269
id_137,21.6324914021
id_138,79.2166748875
id_139,60.2010267678
id_140,26.8333153911
id_141,19.2294745997
id_142,24.4226201009
id_143,7.56651018835
id_144,13.6753741768
id_145,10.3774211512
id_146,19.089221402
id_147,8.47706346133
id_148,12.8166982305
id_149,15.7652502332
id_150,46.6354150654
id_151,21.229167151
id_152,22.5852439063
id_153,15.4509490075
id_154,14.1172493181
id_155,24.6933579099
id_156,25.6049315407
id_157,36.7438492791
id_158,4.61156126072
id_159,23.6828316885
id_160,45.0827075938
id_161,19.1293766833
id_162,63.3906175594
id_163,17.1807342305
id_164,33.6238777005
id_165,23.4278056164
id_166,22.3702795198
id_167,0.34972483542
id_168,67.4010916431
id_169,17.3299755661
id_170,16.0094226039
id_171,69.0946043192
id_172,20.4745065648
id_173,1.9664960579
id_174,22.3336253355
id_175,0.314514795641
id_176,7.1818402476
id_177,18.0817741333
id_178,20.7215592017
id_179,25.2874728237
id_180,43.0550435437
id_181,32.1739336288
id_182,27.3951685737
id_183,12.6890077704
id_184,6.81520307595
id_185,41.818126172
id_186,36.3758358716
id_187,34.5800389889
id_188,16.856702061
id_189,24.1801548619
id_190,14.9799603253
id_191,15.975871256
id_192,30.9943393966
id_193,67.5549689245
id_194,29.6047819393
id_195,10.9349258257
id_196,62.4084299569
id_197,15.887660466
id_198,19.8594600312
id_199,21.6738247386
id_200,123.00064829
id_201,22.9653034666
id_202,59.6229406875
id_203,5.82351955982
id_204,58.8429120546
id_205,37.0763755858
id_206,14.7693339961
id_207,13.961310485
id_208,63.3360929674
id_209,14.86989226
id_210,37.1857544462
id_211,66.8987091003
id_212,18.9683533311
id_213,114.441547059
id_214,40.8723921206
id_215,76.0049620241
id_216,91.8688409316
id_217,70.9720256962
id_218,31.4290136041
id_219,19.9019289915
id_220,30.1170097749
id_221,59.5211728939
id_222,26.6479692155
id_223,37.3286911343
id_224,43.5862005746
id_225,10.9617446344
id_226,4.69327623058
id_227,80.2091651227
id_228,31.1948645491
id_229,1.56751413567
id_230,38.9632423385
id_231,16.3093473849
id_232,21.5125558546
id_233,8.13822647648
id_234,13.3952066629
id_235,25.5440101252
id_236,13.7018374517
id_237,3.19307887258
id_238,22.1749773049
id_239,12.8171319314
